,Year,Reference,Abstract,cluster_4,cluster_5
61,2009,"Tawarmalani, M., Kannan, K., & De, P. (2009). Allocating objects in a network of caches: Centralized and decentralized analyses. Management Science, 55(1), 132-147.","We analyze the allocation of objects in a network of caches that collaborate to service requests from customers. A thorough analysis of this problem in centralized and decentralized setups, both of which occur in practice, is essential for understanding the benefits of collaboration. A key insight offered by this paper is that an efficient implementation of cooperative cache management is possible because, in the centralized scenario, the object allocation resulting in the best social welfare can be found easily as a solution to a transportation problem. For the decentralized scenario involving selfish caches, it is shown that pure equilibria exist and that the cache network always reaches a pure equilibrium in a finite number of steps, starting from any point in the strategy space. An auction mechanism is developed to derive prices that motivate the caches to hold objects in a manner such that the optimal social welfare is attained. In the special case of symmetric caches, simple algorithms are devised to find the optimal social welfare allocation, the best pure equilibrium, and the prices for sharing objects. The results obtained in this paper should be valuable in developing and evaluating cache-management policies. Resource-sharing problems with a similar cost structure exist in a variety of other domains, and the insights gained here are expected to extend to those scenarios as well.",4,5
62,2010,"Fowler, K., & Bridges, E. (2010). Consumer innovativeness: Impact on expectations, perceptions, and choice among retail formats. Journal of Retailing & Consumer Services, 17(6), 492-500. doi:10.1016/j.jretconser.2010.08.004 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=53789673&site=ehost-live","Individual differences in innovativeness may drive consumer expectations and perceptions regarding retail environments, influencing preferences for particular store formats. This research investigates the impact of consumer innovativeness on expectations for, and perceptions of, service design elements, including employee performance, process design, design of physical evidence, and reliability of the shopping experience.  indicate that the majority of consumers expect high performance along all dimensions and dislike surprising stores, specifically those they perceive as risky. Moreover, innovative consumers expect even higher levels of store attributes and in fact perceive stores differently than do less innovative consumers. ",3,3
63,2010,"Kannan, P. K., & Proença, J. F. (2010). Design of service systems under variability: Research issues. Information Systems & e-Business Management, 8(1), 1-11. doi:10.1007/s10257-008-0104-2 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=44930715&site=ehost-live","In service systems, variability is encountered in many components, interfaces, and entities interacting with the system. There could be variations in service system performance across different usage situations and conditions. There could be operator-introduced variations in operating the system, and there could be customer-introduced variability in service operations. Since the specific usage of the service system and the usage conditions can vary, the resultant variations in service performance can impact consumer preferences for and satisfaction with the service system. While some variability has a negative impact on customers, other kinds of variations may be preferred by customers. In designing service systems, one has to understand the sources and types of variability. Any service system that is designed should be robust to these variations––both in system performances and consumer preferences and satisfaction. Achieving the robustness criteria, However, implies consideration of a large number of design criteria across multiple functions––both system design and customer-facing functions. In this paper, we present the factors that need to be considered in service system design which encounter variations not only in usage, but also in operator and customer skill levels, perception of system complexity, preference and satisfaction. We identify the research issues involved and present a general framework to tackle such service system design problems. ",3,3
64,2010,"Nichols, S. S. (2010). Product development, innovation in demand from top-tier retailers. Apparel Magazine, 51(10), 28-28. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=52683023&site=ehost-live","The article reports on the increasing demand for product development and innovation in the apparel manufacturing industry. The trend was discussed at the Sewn Products and Equipment of the Americas Expo (SPESA) show in Atlanta, Georgia, on May 18-20, 2010. It mentioned that product and process innovation, savvy risk management, and operational transparency can help increase a company's product development and design skills. ",2,2
65,2010,"Pao-Tiao Chuang. (2010). Incorporating disservice analysis to enhance perceived service quality. Industrial Management & Data Systems, 110(3), 368-391. doi:10.1108/02635571011030033 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=51840238&site=ehost-live","To ensure the service quality, it is very important and necessary for a company to systematically identify and prioritize the critical failure modes that result in disservice of quality, and take the required remedial actions before the service is delivered to customers. The of this paper is to propose an approach to enhance perceived service quality by incorporating disservice analysis with failure modes and effects analysis (FMEA).  The approach, first, identifies the potential failure modes that might have explicit effects on the service quality. Subsequently, the risk priority number (RPN) is computed to identify the risk priority for each potential failure mode. Furthermore, a disservice index that represents the extent of composite adverse effect of service failures on quality perceptions is computed to recognize the disservice priority for each quality dimension. Based on which, vital quality dimensions are determined as those quality dimensions that have higher disservice indices. The critical failure modes are, then, confirmed as those failure modes that have higher RPNs in the vital quality dimensions. Finally, the effects and root-causes of the critical failure modes are determined by thoroughly exploiting the service infrastructure, service design, and service encounter for the company to take effective remedial actions to enhance perceived service quality. A practical case regarding a hypermarket service was used to demonstrate the proposed approach. Managerial implications and suggestions are provided to the case company, the hypermarket industry, and other service industries. Possibilities for future research are also addressed.  The vital quality dimensions are determined as responsiveness and reliability for the hypermarket case. Six critical failure modes are confirmed, by the order of criticality, as ""unstable supply of goods/merchandise,"" ""no goods/merchandise on designated shelf of the sales floor,"" ""slowness of cashier speed,"" ""tardiness of warranty/repair goods/merchandise,"" ""nonconforming quality of goods/merchandise,"" and ""unable to find first-line server in the sales floor."" These critical failure modes should be eliminated or reduced in top priority to enhance perceived service quality. Note that the determination of vital quality dimensions and the confirmation of critical failure modes depend on the applicable company resources. - The proposed approach improves both the academic and the practical developments of service quality in five aspects: explicitly identifying potential mistakes or failures of the service system that might result in disservice of quality. Arousing notices and focuses on those failure modes that have higher risk priorities by performing FMEA. Identifying how seriously the service failures adversely affect each of the quality dimensions and determining what the vital quality dimensions are by carrying out disservice analysis. Confirming the critical failure modes as those failure modes that have higher risk priorities in the vital quality dimensions with higher disservice indices. Knowing what actions need to be taken in advance to enhance perceived service quality by identifying the root-causes that result in those critical failure modes. ",2,2
66,2010,"Roels, G., Karmarkar, U. S., & Carr, S. (2010). Contracting for collaborative services. Management Science, 56(5), 849-863. doi:10.1287/mnsc.1100.1146 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=51812700&site=ehost-live","In this paper, we analyze the contracting issues that arise in collaborative services, such as consulting, financial planning, and information technology outsourcing. In particular, we investigate how the choice of contract type--among fixed-fee, time-and-materials, and performance-based contracts--is driven by the service environment characteristics. We find that fixed-fee contracts contingent on performance are preferred when the service output is more sensitive to the vendor's effort, that time-and-materials contracts are optimal when the output is more sensitive to the buyer's effort, and that performance-based contracts dominate when the output is equally sensitive to both the buyer's and the vendor's inputs. We also discuss how the performance of these contracts is affected with output uncertainty, process improvement opportunities, and the involvement of multiple buyers and vendors in the joint-production process. Our model highlights the trade-offs underlying the choice of contracts in a collaborative service environment and identifies service process design changes that improve contract efficiency. ",4,5
67,2010,"Carroll, N., Whelan, E., & Richardson, I. (2010). Applying social network analysis to discover service innovation within agile service networks. Service Science, 2(4), 225-244.","The literature indicates that there is urgent need to address the significant gap in our ability to value the contributory interaction of service networks in organisational performance. This paper is primarily concerned with exploring how service (re)configuration is utilised to optimise network performance. The paper will summarise the literature review over the past year in the quest to document how we can understand the contributory value of service innovation networks. It identifies some interesting overlaps in business process management, service science, and network innovation literature. This paper will discuss how failing to account for the value of service networks inhibits our capability to discover and monitor service performance and how this complements the evolvement of service science. This prevents managers from transforming information on network activity and infrastructural capabilities into strategic knowledge. This paper demonstrates how social network analysis (SNA) can be a powerful tool for managers to understand organisational network performance and service interaction.",2,2
68,2010,"Xu, X., Venkatesh, V., Tam, K. Y., & Hong, S. J. (2010). Model of migration and use of platforms: Role of hierarchy, current generation, and complementarities in consumer settings. Management Science, 56(8), 1304-1323.","We develop and test a model of migration and use of platforms to explain consumers' reactions to the newest generation of an information and communication technology platform. We draw from information systems and consumer behavior research on adoption and use of technologies, and adapt and incorporate the construct of complementarity from macrolevel research on platform leadership, network effects, and innovation ecosystems. We conceptualize complementarities between the hardware and software platforms, software platform and applications, and applications and services. The complementarities are theorized to influence migration intention, with current generation of the consumer's platform being a key moderator. We empirically validated our model with data collected using two waves of surveys from 4,412 consumers (2,333 consumers in the second wave) before and after the introduction of the third generation (3G) mobile data services platform in Hong Kong. We explained 60% of the variance in migration intention that in turn was strongly correlated with migration to and use of 3G.",2,2
69,2010,"Cassab, H., Tuunanen, T., Peffers, K., Gengler, C. E., Hui, W., & Virtanen, V. (2010). Discovery of New Service Concepts for Diverse Markets. Service Science, 2(3), 177-195.","A major challenge in service design is the ability to generate useful service concepts for development. New service concepts, however, are often difficult for customers to articulate. In this study we address the idea generation stage of the service development process and suggest the integration of customer scripts to facilitate service concept discovery with the customer. We examine the process using data from in-depth laddering interviews with lead users of mobile services across three geographically diverse markets. Results show that the new service concepts generated in this study are applicable in all three markets although usage motivations differ by market. Advanced service design and development methods need to incorporate global customer differences explicitly in order to meet market needs.",2,2
70,2010,"Buell, R. W., Campbell, D., & Frei, F. X. (2010). Are self?service customers satisfied or stuck?. Production and Operations Management, 19(6), 679-697.","This paper investigates the impact of self?service technology (SST) usage on customer satisfaction and retention. Specifically, we disentangle the distinct effects of satisfaction and switching costs as drivers of retention among self?service customers. Our empirical analysis examines 26,924 multi?channel customers of a nationwide retail bank. We track each customer's channel usage, overall satisfaction, and retention over a 1?year period. We find that, relative to face?to?face service, customers who use self?service channels for a greater proportion of their transactions are either no more satisfied, or less satisfied with the service they receive, depending on the channel. However, we also find that these same customers are predictably less likely to defect to a competitor if they are heavily reliant on self?service channels characterized by high switching costs. Through a mediation model, we demonstrate that, when self?service usage promotes retention, it does so in a way that is consistent with switching costs. As a robustness check, we examine the behavior of channel enthusiasts, who concentrate transactions among specific channels. Relative to more diversified customers, we find that self?service enthusiasts in low switching cost channels defect with greater frequency, while self?service enthusiasts in high switching cost channels are retained with greater frequency.",3,3
71,2011,"Campbell, C., Maglio, P., & Davis, M. (2011). From self-service to super-service: A resource mapping framework for co-creating value by shifting the boundary between provider and customer. Information Systems & e-Business Management, 9(2), 173-191. doi:10.1007/s10257-010-0142-4 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=60016903&site=ehost-live","Improved understanding of how interactions between service providers and customers create value, along with advances in technology, can expand and redefine the roles of both provider and customer in the service delivery process. The traditional boundary between provider and customer can shift toward self service, with the customer performing many of the tasks previously done by the provider, as in self-service check-in at the airport or self-serve salad bars in restaurants. Alternatively, the boundary can shift in the opposite direction-toward what we define as super service-with the provider performing many tasks previously done by the customer, such as a car rental company that delivers vehicles to customers or automatic bill paying services provided by banks. Why do providers shift this boundary in one direction or the other? Increased competition, changing customer attitudes, and new technologies all contribute to the development of new self-service and new super-service delivery configurations. But these new configurations are only effective when they can create additional value for both provider and customer. In this paper, we introduce a resource mapping framework for shifting the service boundary effectively. This framework allows us to examine the continuum of options from self service to super service from a service systems perspective to identify conditions under which shifting the provider-customer boundary creates value. ",3,3
72,2011,"Ding, X. D., Huang, Y., & Verma, R. (2011). Customer experience in online financial servicesA study of behavioral intentions for techno-ready market segments. Journal of Service Management, 22(3), 344-366. doi:10.1108/09564231111136863 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=63557906&site=ehost-live","Drawing upon research in consumer behavior, the of this paper is to deploy an alternative way to predict behavioral intention with customer technology beliefs and experience in e-brokerage services. This study tests the proposed framework and relevant hypotheses with survey responses collected from 258 online investors. Technology-ready (TR) customer segments vary in their evaluations of customer-service interfaces; interface evaluations affect cognitive service experience; and interface evaluations and cognitive experience affect customers' behavioral intentions.  – This study indicates that flow experience emerges as an important factor for achieving sustainable competitive advantages in e-brokerage services. The research  and relevant hypotheses might not apply to low-credence services. The  indicate that service designers need to examine the life cycle of the intended service offerings and customize corresponding service/product features based on customers' technology beliefs and personal characteristics, which can further lead to maximized flow experience and increased intention rate. The paper is among the first attempts to examine how psychographic features affect customers' experience and valuation of certain service system interfaces from service design perspective.  ",3,3
73,2011,"Flodin, M., & Norton, D. (2011). Customer experience blueprint drives B2B. CRM Magazine, 15(11), 38-38. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=67370133&site=ehost-live","The of this paper is to propose a framework for studying the process of technology-based service system innovation from a broad perspective using an approach that elucidates the non-linear facets of this process. The framework draws on Lévy-Strauss's concept of bricolage, which implies that individuals' ""making do with resources at hand,"" as opposed to managerial visions, can trigger innovation. This concept is combined with the notion of technological drift and with a model of emergentism. The paper uses case study data from the Swedish elderly homecare setting. The  illustrate how the emergence of technology-based care services can be triggered by an injection of energy in terms of a new technological resource being made available in an organization, proceeding as a continuous interaction between personnel repurposing and recombining resources at hand, positive and negative feedback dynamics, institutional regulations and culture-related stabilizing mechanisms. New services can arise as a result of a number of efforts and events that, in isolation, might appear insignificant. Taken together, and interacting with enabling and constraining forces that promote the emergence of certain new services and prevent others, such acts and events generate .unpredictable outcomes. The result may be incremental but by no means trivial innovations. The paper suggests an approach to innovation that complements conventional thinking in the new service development literature. The proposed framework can help to explain how and why certain new services emerge and why others do not in unexpected and unpredictable ways.  ",2,2
74,2011,"Kim, S. K. (2011). Evaluation of design for service innovation curriculum: Validation framework and preliminary results. International Journal of Services Technology & Management, 16(3), 280-297. doi:10.1504/IJSTM.2011.044360 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=69900145&site=ehost-live","The article offers information on the evaluation of design for service innovation (DfSI) curriculum based on hypothesis testing, voting and interviews. It mentions that the validation of new design methodologies is essential for the advancement of design theory and development of effective professional practices for industry. It adds that designing product-service system is challenging wherein design teams must integrate several solution elements, including hardware, software, and service. ",1,1
75,2011,"Lee, S., Moon-Soo Kim, & Kim, C. (2011). Identifying the technological chances of product-service system innovation. Proceedings of ISPIM Conferences, (22), 1-10. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=84961171&site=ehost-live","Despite the noteworthy changes towards product-service system(PSS) as a survival strategy of firms, literature has not fully supported PSS innovation due to some limitations: little attention to technology as an innovation source, absence of available data, and lack of quantitative methodology. To fill this academic and practical lacuna, this study proposes a database-centered approach to the identification of the technological chances of PSS as innovation source. For analyzing PSS innovation, the business method (BM) patents are utilized as a data source and the complementary pair of KeyGraph and text mining is systematically applied as a quantitative methodology. To illustrate the utility of proposed approach, the case study of PSS in mobile area is briefly included. As a monitoring tool for identifying technological chances, the proposed approach is expected to be usefully employed for the firms to respond the rapid technological change with the insight into PSS innovation. ",2,2
76,2011,"Lightfoot, H. W., & Gebauer, H. (2011). Exploring the alignment between service strategy and service innovation. Journal of Service Management, 22(5), 664-683. doi:10.1108/09564231111175004 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=66867105&site=ehost-live","Literature is relatively sparse on describing how companies should align their determinants for service innovations with their different types of service strategies. This study seeks to explore the alignment between three types of service strategies and determinants for service innovations. A qualitative, multi-case research design on 12 Western European capital goods manufacturers including 24 service innovation projects was employed. The study is based on multiple sources of evidence: internal documentation of service innovation and development projects and, most importantly, interview data and participation in internal innovation workshops. Traditional inductive research methods were used to analyze the case studies. These indicate that aligning service strategies with determinants for service innovations is very complex. The configurations of the determinants are associated with the innovation success. Alternative configurations of determinants can create counterproductive effects and can limit the success of service innovation projects as well as implementation of service strategies.  – The study is based on interviews and case studies, but the external validity (generalizability) of the alignments could not be assessed accurately. Future research would benefit from insights obtained from quantitative data. The  supplement existing research on success factors for the service business in manufacturing companies. The  imply that managers contemplating a specific service strategy have to consider the service innovation and reframe the determinant for service innovations accordingly. Companies trying to implement an after-sales service strategy should focus on a narrow range of determinants for service innovations. The resulting configurations guide managers to set up an efficient and effective service innovation management that helps them to implement their service strategy through successful service innovation project. This empirical study shows that the configuration of determinants for service innovation differs for each service strategy. Whereas, the few similarities in determinants on service innovation are mainly other applications of existing theories on service innovation, the differences modify the existing theories.  ",2,2
77,2011,"Patrício, L., Fisk, R. P., Falcão, e. C., & Constantine, L. (2011). Multilevel service design: From customer value constellation to service experience blueprinting. Journal of Service Research, 14(2), 180-200. doi:10.1177/1094670511401901 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=60405623&site=ehost-live","The proliferation of complex service systems raises new challenges for service design and requires new methods. Multilevel Service Design (MSD) is presented as a new interdisciplinary method for designing complex service systems. MSD synthesizes contributions from new service development, interaction design, and the emerging field of service design. MSD enables integrated development of service offerings at three hierarchical levels: (a) Designing the firm’s service concept with the customer value constellation of service offerings for the value constellation experience; (b) Designing the firm’s service system, comprising its architecture and navigation, for the service experience; and (c) Designing each service encounter with the Service Experience Blueprint for the service encounter experience. Applications of the MSD method are described for designing a new retail grocery service and for redesigning a bank service. MSD contributes an interdisciplinary service design method that accommodates the cocreative nature of customer experiences and enables experience integration from the design of the service concept through the design of the service system and service encounter. ",1,1
78,2011,"Zomerdijk, L. G., & Voss, C. A. (2011). NSD processes and practices in experiential services. Journal of Product Innovation Management, 28(1), 63-80. doi:10.1111/j.1540-5885.2010.00781.x Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=55831270&site=ehost-live","This paper examines new service development (NSD) in a distinctive set of services: experiential services. Organizations delivering experiential services place the customer experience at the core of the service offering. They focus on the experience of customers when interacting with the organization rather than just the functional benefits following from the products and services delivered. Increasingly, organizations are recognizing that managing customer experiences is a powerful way of differentiating from competitors, establishing emotional connections, and increasing customer loyalty. Studying experiential services sheds light on this highly intangible type of services and, by representing an extreme end of the service spectrum, can advance the knowledge on the wider area of new product and service development. This paper addresses three research questions: (1) What are the processes and practices used in the development and design of experiential services? (2) How are these processes and practices similar to or distinct from established NSD practices? (3) How do these  reflect on the wider area of NSD? The study concentrates on five dimensions of NSD: (1) the process; (2) market research; (3) tools and techniques; (4) metrics and performance measurement; and (5) organization. For each of these areas propositions are formulated and refined with empirical data. Using the case research methodology, empirical data were collected in 17 case companies: experiential service providers, design agencies, and consultancies known for focusing on the customer experience. The main method of data collection was interviews with those involved in experiential service design, such as founders, executives, or experienced designers. The case data revealed a number of practices specific to experiential services. These include a strong emphasis on gathering customer insights, in several cases obtained through empathic research and ethnographic research techniques. Other specific practices for experiential services include mapping customer journeys or touchpoints and storytelling. The case study companies also revealed a trade-off between relatively formal, tight methodologies and more flexible, loose methodologies in NSD. More research is required to investigate the contingency factors surrounding tight or loose methodologies. The results also revealed the use of more broadly used NSD practices, such as a systematic NSD process, multiple performance measures, cross-functional teams, and front-line involvement. The observations from this study are captured in a set of seven propositions concerning NSD in experiential services. Reflecting on NSD in general, this study highlights the important role of service process innovation compared with service product innovation and the importance of continuous innovation requiring NSD processes and practices that are more flexible, iterative, and nonlinear. The study also supports the argument that different types of services may require different NSD processes and practices. ",2,2
79,2011,"Caprara, A., Malaguti, E., & Toth, P. (2011). A freight service design problem for a railway corridor. Transportation Science, 45(2), 147-162.","We study the problem of designing a set of highly profitable freight routes in a railway corridor, taking into account the level of service requested by different goods; in particular, the profit achieved by transporting a good is a nonlinear function of the associated travel time. We propose an ILP model that is solved heuristically by column generation and fixing techniques. Computational results on a real corridor crossing 11 European countries are reported, showing that we can find solutions that are provably close to optimal. Given the large size of our instances, a key issue of our approach is to avoid finding an optimal solution of the continuous relaxation of our model, stopping as soon as near-optimal primal and dual solutions are available.",4,5
80,2011,"Buell, R. W., & Norton, M. I. (2011). The labor illusion: How operational transparency increases perceived value. Management Science, 57(9), 1564-1579.","Aubiquitous feature of even the fastest self-service technology transactions is the wait. Conventional wisdom and operations theory suggest that the longer people wait, the less satisfied they become; we demonstrate that because of what we term the labor illusion, when websites engage in operational transparency by signaling that they are exerting effort, people can actually prefer websites with longer waits to those that return instantaneous results—even when those results are identical. In five experiments that simulate service experiences in the domains of online travel and online dating, we demonstrate the impact of the labor illusion on service value perceptions, demonstrate that perceptions of service provider effort induce feelings of reciprocity that together mediate the link between operational transparency and increased valuation, and explore boundary conditions and alternative explanations.",2,2
81,2011,"Lin, F. R., & Hsieh, P. S. (2011). A SAT view on new service development. Service Science, 3(2), 141-157.","New service development (NSD) is getting important for companies that wish to gain a competitive advantage on service-driven markets. While research on NSD has grown rapidly over the last decade, many studies have been highly fragmented and concentrated on different innovation issues. Few studies have focused on the stages, activities, and techniques of NSD. In addition, the NSD process is delivered through service value net, and can often be carried out by multiple companies. Therefore, this study aims to provide a SAT (Stage-Activity-Technique) framework for NSD stages, activities, and techniques based on a literature review and trend analysis. This study divides the NSD process into five stages: service identification, service value net formation, service modeling, service implementation, and service commercialization. In addition, the NSD process is more likely to be spiral in form for new services that are examined. The NSD process is also likely to be refined by service providers and customers to incorporate their detailed requirements and integrate service value into future development processes. The SAT model can assist service designers and engineers in developing new services by providing a structured NSD process and identifying techniques for activities in the NSD process.",3,3
82,2012,"Beltagui, A., Candi, M., & Riedel, J. C. K. H. (2012). Design in the experience economy: Using emotional design for service innovation. Advances in International Marketing, 11(23), 111-135. doi:10.1108/S1474-7979(2012)0000023009 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=80147615&site=ehost-live","This chapter explores the relationship between emotional design and customer experience. It begins with an introduction to the concept of emotional design, comprising behavioral, visceral, and reflective elements. Next, the nature of service experiences is examined, leading to a framework that classifies services according to their functional and experiential positions. Understanding customer goals allows this framework to be used to design customer experiences, in terms of the journey that customers take when consuming a service. The chapter then discusses the cognitive traits associated with designers and argues that they are well suited to understanding the customer journey and designing the prerequisites for the desired experience. Two different approaches to understanding and acting on customer requirements are explored - user centered and design driven. ",3,3
83,2012,"Cavalieri, S., & Pezzotta, G. (2012). Product–Service systems engineering: State of the art and research challenges. Computers in Industry, 63(4), 278-288. doi:10.1016/j.compind.2012.02.006 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=74988937&site=ehost-live","The design and development of a Product–Service System (PSS) raises new issues since the service component introduces further requirements than traditional product engineering. Compared to physical products, services are generally under-designed and inefficiently developed. For this reason, approaches such as New Service Development, Service Design and Service Engineering have emerged during the years to support the design and development of service either as a system itself or as a constituting element of a Product–Service System. However, only Service Engineering investigates service design and development with a systematic perspective and with a seamless integration of product and service contents. The of this paper is to provide a holistic conceptualisation and an up-to-date review of the literature on Service Engineering with a specific focus on its adoption in the PSS context. A critical analysis is also performed with the aim to define a research agenda and the most prominent key actions that could give directions for future research. ",1,1
84,2012,"Karwowski, W., & Ahram, T. Z. (2012). Innovation in user-centered skills and performance improvement for sustainable complex service systems. Work, 41, 3923-3929. Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=71928996&site=ehost-live","In order to leverage individual and organizational learning and to remain competitive in current turbulent markets it is important for employees, managers, planners and leaders to perform at high levels over time. Employee competence and skills are extremely important matters in view of the general shortage of talent and the mobility of employees with talent. Two factors emerged to have the greatest impact on the competitiveness of complex service systems: improving managerial and employee's knowledge attainment for skills, and improving the training and development of the workforce. This paper introduces the knowledge-based user-centered service design approach for sustainable skill and performance improvement in education, design and modeling of the next generation of complex service systems. The rest of the paper cover topics in human factors and sustainable business process modeling for the service industry, and illustrates the user-centered service system development cycle with the integration of systems engineering concepts in service systems. A roadmap for designing service systems of the future is discussed. The framework introduced in this paper is based on key user-centered design principles and systems engineering applications to support service competitiveness. ",2,2
85,2012,"Kowalkowski, C., Kindström, D., Alejandro, T. B., Brege, S., & Biggemann, S. (2012). Service infusion as agile incrementalism in action. Journal of Business Research, 65(6), 765-772. doi:10.1016/j.jbusres.2010.12.014 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=74662892&site=ehost-live","As product markets mature, firms are increasingly offering industrial services, in order to differentiate themselves and remain competitive. The general strategic view emerging from the services literature is that service infusion in manufacturing industries takes a somewhat unidirectional path from products to service provision. Based on in-depth case study research in the materials handling industry and drawing on Lindblom''s (1979) concept of disjointed incrementalism, this study shows how service infusion often takes place in small steps without clearly directed efforts. The study identifies elements of incrementalism central to service infusion and demonstrates how a successful service strategy involves continuous modifications, adaptability, the seizing of ad hoc innovation, a continuous recalibration of opportunities, and the management of intertwining goals. The study introduces the concept of agile incrementalism; this concept aptly describes this contingency approach. The article contributes to a multifaceted and nuanced picture of service strategy and the service-infusion process. ",2,2
86,2012,"Luo, C., Chang, H., & Su, C. (2012). ‘Balanced scorecard’ as an operation-level strategic planning tool for service innovation. Service Industries Journal, 32(12), 1937-1956. doi:10.1080/02642069.2011.574273 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=77873974&site=ehost-live","This study proposes a model for implementing the balanced scorecard (BSC) as an operation-level strategic planning tool in a medical service department for service innovation. The study involved four major units in a district hospital: the internal medicine ward, surgery ward, gynecology ward, and pediatrics ward. The results indicated that the nursing department not only had its own unique goals and tasks, but also that it was obligated to a comprehensive service system in addition to its specific caring subjects. The study is the first to shed light on the role of department-level strategic planning tool for service innovation. The results also indicated that the operation-level should design its own BSC as a strategic planning for service innovation. ",2,2
87,2012,"Santamaría, L., Jesús Nieto, M., & Miles, I. (2012). Service innovation in manufacturing firms: Evidence from spain. Technovation, 32(2), 144-155. doi:10.1016/j.technovation.2011.08.006 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=70386284&site=ehost-live","The ways in which manufacturing firms come to offer services to customers – servitisation or servicisation – are attracting considerable attention. This paper examines an innovation survey of Spanish firms in order to investigate one aspect of this phenomenon: the introduction of new or improved services by manufacturers. Specifically, the paper analyses the determinants of service innovations in manufacturers and determines whether they differ from those of product or process innovations in these same firms. The study finds that almost 20 percent of the firms in the sample have introduced such services in the recent past and that important differences exist between service and product (goods) innovations, with service innovations being particularly related to human resource development and closer links to customers. This suggests that service innovation by manufacturers has much in common with the innovation patterns detected in service sector firms. Intriguing differences across manufacturing sectors are also noted, with the lowest- and highest-tech sectors reporting more service innovations than the medium-tech sectors. ",2,2
88,2012,"Taifi, N., & Passiante, G. (2012). Speeding up ‘New products and service development’ through strategic community creation: Case of automaker after-sales services partners. Service Industries Journal, 32(13), 2115-2127. doi:10.1080/02642069.2011.575131 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=78450649&site=ehost-live","This study focuses on the roles of after-sales services in the automaker innovation process and on the importance of specific structures creation to facilitate their knowledge integration in the innovation process. The analysis of an inter-organizational strategic community (SC) for new products and services development provides the creation and continuous success mechanisms and dynamics. Data were collected through interviews with the managers and the founders and a questionnaire dedicated to the members of the SC. The  show that the most important mechanisms and dynamisms are IT-based communication, the strategic leadership of the founders, the use of a reward system as incentive to knowledge creation and sharing, and the indirect ties of the SC with other after-sales services firms. ",2,2
89,2012,"Teixeira, J., Patrício, L., Nunes, N. J., Nóbrega, L., Fisk, R. P., & Constantine, L. (2012). Customer experience modeling: From customer experience to service design. Journal of Service Management, 23(3), 362-376. doi:10.1108/09564231211248453 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=77622450&site=ehost-live","Customer experience has become increasingly important for service organizations that see it as a source of sustainable competitive advantage, and for service designers, who consider it fundamental to any service design project. Integrating contributions from different fields, CEM was conceptually developed to represent the different aspects of customer experience in a holistic diagrammatic representation. CEM was further developed with an application to a multimedia service. To further develop and build CEM's models, 17 customers of a multimedia service provider were interviewed and the data were analyzed using Grounded Theory methodology. Combining multidisciplinary contributions to represent customer experience elements enables the systematization of its complex information. The application to a multimedia service highlights how CEM can facilitate the work of multidisciplinary design teams by providing more insightful inputs to service design. CEM supports the holistic nature of customer experience, providing a systematic portrayal of its context and shifting the focus from single experience elements to their orchestration.  ",3,3
